title,year,length,budget,rating,votes,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
$5 a Day,2008,98,,6.4,2689,PG-13,0,0,1,1,0,0,0
$50,000 Reward,1924,55,,5.2,4.5,,0,0,0,0,0,0
$50K and a Call Girl: A Love Story,2014,90,,7,1934,,0,0,0,1,0,0,0
$6 Man,2008,118,100000,3.7,22,,0,0,0,1,0,0,0
$9.99,2008,78,,6.8,2667,R,0,1,0,1,0,0,0
$elfie Shootout,2016,86,,4.1,66,,0,0,1,0,0,0,0
$ellebrity,2012,89,,5.5,952,,0,0,0,0,1,0,0
$kumbagz,2015,71,,7.3,10,,0,0,0,0,0,0,0
$lowdown,2011,25,17000,8,11,,1,0,0,1,0,0,1
$pent,2000,91,,4,107,,0,0,0,1,0,0,0
$quid,2007,7,,8.2,35,,0,0,1,0,0,0,1
$weethearts,2010,20,,9.8,6,,0,0,1,0,0,1,1
$windle,2002,93,,5.6,752,R,1,0,0,1,0,0,0
& Juan,2013,15,0,8.8,6,,0,0,1,1,0,1,1
& Teller,2008,3,1000,7.1,55,,0,0,0,0,0,0,1
& Teller 2,2008,3,3000,7.2,46,,0,0,0,0,0,0,1
&Me,2013,88,,5.2,145,,0,0,0,0,0,1,0
'...nettirwnU',2005,9,,5.7,20,,0,0,0,1,0,0,1
'11',1980,72,,5.4,14,,0,0,0,0,0,0,0
'15',2002,25,,6.4,182,,0,0,1,1,0,0,1
'38,1986,97,,6.7,97,,0,0,0,1,0,0,0
'42,1951,156,,8.7,10,,0,0,0,0,0,0,0
'49-'17,1917,61,,5.6,138,,0,0,0,0,0,0,0
'68,1988,99,,6.1,46,,0,0,0,1,0,0,0
'71,2014,99,,7.2,34987,R,1,0,0,1,0,0,0
'77,2007,113,,7.2,227,,0,0,1,1,0,0,0
'79 Parts,2015,90,,6.8,28,,1,0,1,0,0,1,0
'92 Skybox Alonzo Mourning Rookie Card,2012,12,0,5.8,179,,0,0,1,0,0,0,1
'93 jie tou ba wang,1993,94,,5.1,9,,0,0,0,0,0,0,0
'94 du bi dao zhi qing,1994,96,,6.1,150,,1,0,0,1,0,1,0
'A Bit' Too Much Too Soon,1983,75,,6.6,21,,0,0,0,0,0,0,0
'A',1965,10,,6.2,84,,0,1,0,0,0,0,1
'A' gai wak,1983,97,,7.5,10724,PG-13,1,0,1,0,0,0,0
'A' gai wak 2,1987,106,,7.2,6435,PG-13,1,0,1,0,0,0,0
'Allo 'Allo! at the London Palladium,1988,8,,7.3,34,,0,0,1,0,0,0,1
'Ave You Got a Male Assistant Please Miss?,1973,5,,4.6,22,,0,0,0,0,0,0,1
'B' Girl Rhapsody,1952,76,,5.8,14,,0,0,0,1,0,0,0
'Babicky dobjejte presne!',1984,101,,5.8,44,,0,0,1,0,0,0,0
'Bama Girl,2008,75,,6.6,48,,0,0,0,0,1,0,0
'Blue Blazes' Rawden,1918,65,,6,48,,0,0,0,1,0,0,0
'Breaker' Morant,1980,107,,7.9,10183,,0,0,0,1,0,0,0
'Bullitt': Steve McQueen's Commitment to Reality,1968,10,,6.6,110,,0,0,0,0,1,0,1
'C'-Man,1949,75,,6.1,131,,0,0,0,1,0,0,0
'Campen del barrio' (Su ltima cancin),1964,90,,6.8,13,,0,0,1,1,0,0,0
'Cat and Mouse' at the Home,1983,5,,6.5,28,,0,1,1,0,0,0,1
'Ch' kowai hanashi A: yami no karasu,2004,80,,5.1,455,,0,0,0,0,0,0,0
'Como Mxico no hay dos'!,1945,95,,5.6,5,,0,0,1,0,0,0,0
'Crocodile' Dundee II,1988,108,,5.5,44055,,1,0,1,0,0,0,0
'Ctyri vrazdy stac, drahousku',1971,103,,7.7,24.5,,0,0,1,0,0,0
'D',2005,107,,6.9,976,,0,0,0,1,0,0,0
'Daisy Lay': Ozark Virgin?,1971,34,,4.8,8,,0,0,0,0,0,0,0
'Doc',1971,96,,6.1,823,,0,0,0,0,0,0,0
'E',1981,7,,7.7,89,,0,1,1,0,0,0,1
'Ei se mitn!' sanoi Eemeli,1962,99,,5.1,29,,0,0,1,0,0,0,0
'El Chicko' - der Verdacht,1997,90,,5.6,40,,0,0,1,0,0,0,0
'El rata',1966,90,,6.3,10,,0,0,1,1,0,0,0
'Eliza on the Ice',1944,7,,6,20,,0,1,0,0,0,0,1
'F',1980,65,,7.1,125,,0,0,1,0,0,0,0
'FLY' a Legacy,2012,7,,8.8,21,,0,0,0,0,0,0,1
'Fraidy Cat,1951,16,,4.9,18,,0,0,1,0,0,0,1
'Fun on a Week-End',1947,93,,6.8,118,,0,0,1,0,0,0,0
'G' Men,1935,85,450000,7.2,2640,,0,0,0,1,0,0,0
'Gator Bait,1974,88,,5,487,,1,0,0,1,0,0,0
'Giant' Stars Are Off to Texas,1955,1,,6.4,20,,0,0,0,0,1,0,1
'Gung Ho!': The Story of Carlson's Makin Island Raiders,1943,88,866898,6.2,991,,0,0,0,1,0,0,0
'Halloween' Was Already Taken,2010,16,,7.8,17,,0,0,1,0,0,0,1
'Herra ja ylhisyys',1944,113,,4.9,40,,0,0,1,0,0,0,0
'Hit-and-Run Driver',1935,20,,6.7,34,,0,0,0,1,0,0,1
'How Do I Love Thee? Let Me Count the Lays.....!',1979,43,,5,8,,0,0,0,0,0,0,0
'Hukkunud Alpinisti' hotell,1979,80,,7,671,,0,0,0,1,0,0,0
'I Do...',1992,86,,6.6,21,,0,0,0,0,0,0,0
'I Know Where I'm Going!',1945,91,,7.7,5937,,0,0,0,1,0,1,0
'If You Loved Me...,1997,14,,6.4,22,,0,0,1,0,0,0,1
'Imhar', une lgende,1997,82,,6.8,14.5,,0,0,0,1,0,0
'Java Madness' formerly titled 'Coffee Madness',1995,7,,7.6,19,,0,0,1,0,0,0,1
'Je vous salue, Marie',1985,72,,6.7,14.5,,0,0,0,1,0,0
'Jees, olympialaiset', sanoi Ryhmy,1952,99,,14.5,0,,0,0,1,0,0
'Jsang taihisen' yori: Sono gossha o nerae,1960,79,,6.8,508,,1,0,0,0,0,0,0
'Kaash',1987,140,,6.5,127,,0,0,0,1,0,0,0
'Kukan': The Battle Cry of China,1941,90,,9.1,7,,0,0,0,0,1,0,0
'LSD': Trip or Trap!,1967,19,,5.8,34,,0,0,0,0,1,0,1
'LTD.',2005,88,,4.5,19,,0,0,0,1,0,0,0
'Las viudas del cha-cha-cha',1955,85,,5.6,5,,0,0,1,0,0,0,0
'Legitimate Rape' Pharmaceutical Ad,2012,2,,7.5,6,,0,0,1,0,0,0,1
'M' Word,1996,99,,4.3,22,,0,0,1,1,0,1,0
'Mad' Boy, I'll Blow Your Blues Away. Be Mine,1997,19,,7.8,44.5,,0,0,0,0,0,0
'Master Harold' ... And the Boys,2010,87,5000000,5.8,377,PG-13,0,0,0,1,0,0,0
'Men Olsenbanden var ikke dd!',1984,89,,6.2,509,,0,0,1,0,0,0,0
'Merci la vie',1991,117,,6.8,880,,0,0,0,1,0,0,0
'Merika,1984,102,,8,21,,0,0,0,1,0,1,0
'Min eln',1946,115,,6.3,33,,0,0,0,1,0,0,0
'Minagoroshi no uta' yori kenj-yo saraba!,1960,87,,7.4,14,,0,0,0,0,0,0,0
'Mink is!',1954,76,,5.7,29,,0,0,1,0,0,0,0
'Mxico de mi corazn' (Dos Mexicanas en Mxico),1964,90,,6.6,9,,0,0,1,0,0,0,0
'Ne gnstige Gelegenheit,1999,102,,5,116,,0,0,1,0,0,1,0
'Neath Arizona Skies,1962,9,,4.8,11,,0,0,0,0,0,0,1
'Neath Brooklyn Bridge,1942,61,,7.3,532,,0,0,1,1,0,1,0
'Neath Canadian Skies,1946,41,,6.6,13,,0,0,0,0,0,0,1
'Neath the Arizona Skies,1934,52,,5.1,650,,0,0,0,0,0,0,0
'Necromania': A Tale of Weird Love!,1971,54,7000,3.7,362,,0,0,0,0,0,0,0
'Neitzsche' Ate Here,2013,26,,8.7,7,,0,0,0,1,0,0,1
'Nendo no omen' yori: kaachan,1961,88,,8.1,10,,0,0,1,1,0,0,0
'Non', ou A V Glria de Mandar,1990,110,,7.1,14.5,,0,0,0,1,0,0
'Northwest Passage' (Book I -- Rogers' Rangers),1940,126,2677762,7.1,2492,,0,0,0,1,0,1,0
'O re,1989,90,,6.4,42,,0,0,1,1,0,0,0
'O' de amor,1995,87,,3.1,7,,0,0,0,1,0,0,0
'Oh!...... Miss Bodie',1972,52,,4,5,,0,0,0,0,0,0,0
'Pegando con tubo',1961,80,,4.2,11,,0,0,1,0,0,0,0
'Pimpernel' Smith,1941,120,,7.4,854,,0,0,1,1,0,0,0
'Please Stay' by Billy Boyd and Beecake,2012,5,,8.4,15,,0,0,0,0,0,0,1
'Queens'land,2006,7,6000,7.3,12,,0,0,1,0,0,0,1
'R Xmas,2001,85,,5.7,1027,R,0,0,0,1,0,0,0
'Rameau's Nephew' by Diderot (Thanx to Dennis Young) by Wilma Schoen,1974,270,,7.3,38,,0,0,0,0,0,0,0
'Round Midnight,1986,133,,7.4,3766,,0,0,0,1,0,0,0
'Round Midnight,2005,5,,8.8,6,,0,0,0,0,0,0,1
'Sankari kuin sankari',1948,86,,4.4,7,,0,0,1,0,0,0,0
'Sheba, Baby',1975,90,,5.8,4.5,,1,0,0,1,0,0
'Side by Each',2008,99,,5.6,27,,0,0,1,0,0,0,0
'Sno Fun,1951,7,,5.7,9,,0,1,1,0,0,0,1
'Sredni Vashtar' by Saki,1940,12,,6.3,30,,0,0,0,0,0,0,1
'Sssst,1971,8,,6.6,7,,0,1,0,0,0,0,1
'Strashilki' Khrestinina Kirilla: No. 1 'Kollektorshchik',2011,14,,8.8,6,,0,0,0,0,0,0,1
'Sugar Chile' Robinson, Billie Holiday, Count Basie and His Sextet,1951,15,,4.5,24.5,,0,0,0,0,0
'Sweet Dreams, Suzan',1980,70,,5.2,0,,0,0,0,0,0,0
'Sweet Punkin' I Love You....,1976,80,,6.8,25,,0,0,1,0,0,0,0
'Swing it' magistern,1940,92,,6.3,158,,0,0,1,0,0,0,0
'Taint Legal,1940,16,,5.6,7,,0,0,1,0,0,1,1
'Thou-Vou' Falakros praktor - Epiheirisis: Gis madiam,1969,94,,7.9,668,,0,0,1,0,0,0,0
'Til Death,2011,24,,8.1,13,,0,0,0,1,0,0,1
'Til Death Do Us Part,2002,85,,4.7,26,,0,0,0,0,0,0,0
'Til Death Do Us Partner,2008,6,,7.4,5,,0,0,0,0,0,0,1
'Til Morning,2013,57,1000,9.3,6,,0,0,0,1,0,0,0
'Til There Was You,1997,113,10000000,4.7,2315,PG-13,0,0,1,0,0,1,0
'Til We Meet Again,1940,99,,6.9,399,,0,0,0,1,0,1,0
'Till the Garden Grows,1996,18,,6.4,8,,0,0,0,1,0,0,1
'Tis Autumn: The Search for Jackie Paris,2006,101,,7.1,51,,0,0,0,0,1,0,0
'Tis the Season,2007,5,5000,8,7,,0,0,0,0,0,0,1
'V': The Hot One,1978,97,,6.8,142,,0,0,0,1,0,0,0
'Wag kang lilingon,2006,96,,6.7,54,,0,0,0,0,0,0,0
'What's Your 'I.Q.'?': Number Two,1940,9,,6,49,,0,0,0,0,0,0,1
'Year Zero' OFFF Festival Main Titles 2011,2011,6,,8.1,17,,0,0,0,0,0,0,1
'n Beetje Verliefd,2006,82,,5.3,389,,0,0,1,0,0,1,0
'n Pot Vol Winter,1992,88,,6.4,29,,0,0,0,1,0,0,0
'n Saak van Geloof,2011,88,,5.9,11,,0,0,0,1,0,0,0
'n schot in de roos,1983,90,,5.4,26,,0,0,0,0,0,0,0
'night, Mother,1986,96,,7.6,24.5,,0,0,0,1,0,0
(),2003,21,,7.1,39,,0,0,0,0,0,0,1
()eli,1999,80,,5.8,44,,0,0,0,0,0,0,0
-9,2014,90,,5,8,,0,0,0,0,0,0,0
(500) Days of Summer,2009,95,7500000,7.7,375982,PG-13,0,0,1,1,0,1,0
(7me) Cuirassiers: dfil (par escadron),1896,1,,4.6,10,,0,0,0,0,0,0,1
(A) Typical Couple,2012,6,,8.2,6,,0,0,0,0,1,1,1
(A)Torzija,2003,13,,7.3,278,,0,0,0,1,0,0,1
(A)sexual,2011,75,,6.1,613,,0,0,1,1,1,0,0
(AmI) Live,2011,84,,5.5,6,,0,0,0,1,0,0,0
(Blooper) Bunny!,1991,8,,7.3,256,,0,1,1,0,0,0,1
(Calcutta) GO,1993,9,,6.1,7,,0,0,0,0,0,0,1
(Dis)Honesty: The Truth About Lies,2015,90,,7.4,514,,0,0,0,1,1,0,0
(Empty-field),2008,3,,7,8,,0,0,1,0,0,0,1
(En)terrados,2009,11,,7.8,18,,0,0,0,0,0,0,1
(Entlastungen) Pipilottis Fehler,1988,11,,6.2,13,,0,0,0,0,0,0,1
(Entre nous),2002,82,,4.2,28,,0,0,0,1,0,0,0
(G)rve party,1998,86,,5,81,,0,0,1,0,0,0,0
(H) Historias cotidianas,2001,80,,7.9,8,,0,0,0,0,1,0,0
(Haru),1996,118,,7.2,64,,0,0,0,1,0,1,0
(Je suis) la naissance d'un hros,2011,2,,8.7,9,,0,0,0,1,0,0,1
(M)uchenik,2016,118,,7.7,66,,0,0,0,1,0,0,0
(Maruhi) jor seme jigoku,1973,77,,6.5,50,,0,0,0,1,0,0,0
(Maruhi) shikij mesu ichiba,1974,83,,6.7,177,,0,0,0,1,0,0,0
(Maruhi) yu no machi - Yoru no hitode,1970,73,,3.6,5,,0,0,1,0,0,0,0
(Menya zdes net),2009,63,11000,7.3,24,,0,0,0,1,0,0,0
(Mis)Leading Man,2008,18,,8.6,5,,0,0,0,1,0,0,1
(Nama) tch ripto: Chiwa,1993,60,,6.5,10,,0,0,0,0,0,0,0
(No) Laughing Matter,2010,55,,7.6,8,,0,0,1,0,1,0,0
(Null),2013,5,,6.2,33,,0,0,0,1,0,0,1
(Ohne Titel),2003,3,,6.6,5,,0,0,0,0,0,0,1
(One),2009,8,,7,11,,0,0,0,1,0,0,1
(Otto),2015,10,,6.5,16,,0,1,0,0,0,0,1
(PRE)Mature,2013,19,,7,5,,0,0,0,1,0,1,1
(Paris: XY),2001,80,,4.8,12,,0,0,0,1,0,0,0
(Past Present Future) Imperfect,2004,94,,8.1,11,,0,0,0,1,0,0,0
(Plictis) si Inspiratie,2007,11,,8.2,41,,0,0,1,0,0,0,1
(Skarna),1993,108,,4.5,1725,,1,0,0,1,0,0,0
(Stories from) The Land of Cain,1995,25,,6,5,,0,0,0,0,1,0,1
(T)ERROR,2015,84,,6.8,398,,0,0,0,0,1,0,0
(T)Raumschiff Surprise - Periode 1,2004,87,,5.3,10492,,0,0,1,0,0,0,0
(Terep)Szemle,2003,11,,6.5,11,,0,0,1,0,0,0,1
(Terep)Szemle 2.,2011,13,1000,7.6,5,,0,0,1,0,0,0,1
(This Is Known as) The Blues Scale,2004,42,15000,8.2,24,,0,0,0,0,1,0,1
(Ujjobu) Kamisari nn nichij,2014,116,,7.6,1035,,0,0,1,0,0,0,0
(Un)Lucky,2012,11,,9.2,6,,0,0,1,1,0,0,1
(Un)sister,2003,5,,6.1,14,,0,0,0,0,1,0,1
(Une ballade  travers) Les ruines de Paris,2004,135,,6.6,5,,0,0,0,0,1,0,0
(Uno de los) primos,2010,3,,6.7,57,,0,0,1,0,0,0,1
(Untitled),2009,96,,6.4,1810,R,0,0,1,1,0,0,0
(Vikten av) Hr,2010,14,,5.9,11,,0,0,0,0,1,0,1
(Warum verkauft mein Vater seine) Plattensammlung?,2010,13,,7.6,18,,0,0,0,0,1,0,1
(Y/N): (Yes or No),2014,7,,7.6,9,,0,0,0,1,0,0,1
(Z),2013,21,,7.9,18,,0,0,1,0,0,0,1
(enough),2008,3,,6.7,7,,0,0,0,0,0,0,1
(sarah),2010,8,0,8.5,8,,0,0,1,0,0,0,1
* Cemetery,2010,79,,5.7,15,,0,0,1,0,0,0,0
****,1967,1100,,6.7,54,,0,0,0,0,0,0,0
*67,2011,3,,8.3,7,,0,0,0,0,0,0,1
*69,2016,100,,4.2,12,,0,0,0,0,0,0,0
*Corpus Callosum,2002,92,,6.2,130,,0,1,0,1,0,0,0
*batteries not included,1987,106,,6.5,23401,,0,0,1,0,0,0,0
1,2013,96,,5.5,6317,,0,0,0,0,0,0,0
0,1987,7,,6.9,33,,0,1,1,0,0,0,1
, Iki, Bir... Kestik!,2014,92,,4.5,14.5,,0,0,1,0,0
-1287,2014,70,,8.2,5,,0,0,0,0,1,0,0
-197C Murder,2013,93,,4.5,34,,0,0,0,0,0,0,0
-30-,1959,96,,6.7,268,,0,0,0,1,0,0,0
#NAME?,1932,77,,5.7,146,,0,0,1,0,0,0,0
...,2007,8,,6.9,8,,0,0,0,1,0,0,1
... (Dot Dot Dot),2001,30,,8.3,6,,0,0,1,0,0,0,1
... E fuori nevica!,2014,94,,5,130,,0,0,1,0,0,0,0
... Hiro! Fujihiro!,2012,28,,5.6,9,,0,0,0,0,0,0,1
... Just a Job,2007,98,50000,7.3,23,,0,0,0,0,0,0,0
... Y muro por nosotros!,1951,95,,4.2,6,,0,0,0,1,0,0,0
... gdziekolwiek jestes, panie prezydencie...,1978,86,,6.7,14.5,,0,0,0,1,0,0
... la campagne,1995,108,,7.1,68,,0,0,1,1,0,1,0
... und ber uns der Himmel,1947,84,,6.7,37,,0,0,0,1,0,0,0
...4 ..3 ..2 ..1 ...morte,1967,95,,3.9,405,,1,0,0,0,0,0,0
...A Valparaso,1964,28,,7.7,355,,0,0,0,0,1,0,1
...A vy lyubili kogda-nibud?,1973,84,,4.2,13,,0,0,1,0,0,0,0
...Addio del passato...,2002,47,,7,6,,0,0,0,0,1,0,0
...All the Marbles,1981,113,,6.3,1420,,0,0,1,1,0,0,0
...And Then I Helped,2010,101,,6.6,10,,0,0,0,0,0,0,0
...And the Earth Did Not Swallow Him,1995,99,,6.3,115,,0,0,0,1,0,0,0
...Around,2008,104,200000,7.2,66,,0,0,0,1,0,0,0
...Aur Pyaar Ho Gaya,1997,147,,4.7,606,,0,0,1,1,0,1,0
...Be yom hashlishi,2010,113,1000000,5.5,28,,0,0,0,1,0,0,0
...But I Was a Girl: The Story of Frieda Belinfante,1999,69,,8.4,5,,0,0,0,0,1,0,0
...But a Giant Leap for Mr. Larkin,2006,16,,7.8,27,,0,0,1,0,0,0,1
...Comme elle respire,1998,106,,6.4,298,,0,0,1,0,0,0,0
...E alla fine lo chiamarono Jerusalem l'implacabile (Padella calibro 38),1972,90,,4.7,27,,0,0,0,0,0,0,0
...E il terzo giorno arriv il corvo,1973,85,,4.2,28,,0,0,0,0,0,0,0
...E si salv solo l'aretino Pietro con una mano avanti e l'altra dietro,1972,85,,4.2,5,,0,0,1,0,0,0,0
...E tu vivrai nel terrore! L'aldil,1981,82,400000,6.9,14955,,0,0,0,0,0,0,0
...Enfants des courants d'air,1959,26,,8,9,,0,0,0,1,0,0,1
...Hogy szaladnak a fk!,1967,82,,7.2,22,,0,0,0,1,0,0,0
...I drugie ofitsialnye litsa,1976,89,,5,22,,0,0,0,1,0,0,0
...Is It the Design on the Wrapper?,1997,8,,5.3,45,,0,0,0,0,0,0,1
...Ja teeb trikke,1978,10,,6.8,60,,0,1,1,0,0,0,1
...Just That Sort of a Day,2010,14,,8.3,37,,0,1,0,1,0,0,1
...Like Flies,2014,10,,8.9,10,,0,0,1,0,0,0,1
...Lost.,2000,5,,4.4,96,,0,0,0,1,0,0,1
...Mama ei de tranzitie!?!,2012,100,,6,9,,0,0,1,1,0,0,0
...Maybe This Time,1981,96,,7.6,21,,0,0,0,1,0,0,0
...Men filmen r min lskarinna,2010,66,,7.1,83,,0,0,0,0,0,0,0
...Moddhikhane Char,2012,88,,7,23,,0,0,0,0,1,0,0
...More Than 1000 Words,2006,78,280000,8,38,,0,0,0,0,1,0,0
...No Lies,1973,15,,7.6,258,,0,0,0,1,0,0,1
...Nothing Happened,2005,8,,6.4,5,,0,0,0,1,0,0,1
...Og det var Danmark,2008,107,,7.6,272,,0,0,0,0,1,0,0
...Og nu til vejret,2013,7,,8.4,8,,0,0,1,1,0,0,1
...One Third of a Nation...,1939,79,,6.3,76,,0,0,0,1,0,0,0
...Pervaya lyubov,1995,80,,4.8,12,,0,0,0,1,0,1,0
...Pi forte ragazzi!,1972,92,,6.7,4382,,1,0,1,0,0,0,0
...Po prozvishchu 'Zver',1990,88,,5.4,108,,1,0,0,0,0,0,0
...Quando Troveja,1999,92,,5.6,80,,0,0,0,1,0,0,0
...Reel Five,1999,14,,5.7,108,,0,0,0,0,0,0,1
...Reel Three,1998,15,,5.6,7,,0,0,0,0,0,0,1
...Remote... Remote...,1973,10,,6,66,,0,0,0,0,0,0,1
...Sans laisser d'adresse,1951,90,,7,51,,0,0,1,1,0,0,0
...Schlie ganz fest die ugelein!,2009,4,,7.6,11,,0,0,0,0,0,0,1
...So Goes the Nation,2006,90,,6.3,358,,0,0,0,0,1,0,0
...Te wspaniale babelki w tych pulsujacych limfocytach,1973,8,,7.1,8,,0,1,0,0,0,0,1
...They Haven't Seen This...,1988,20,,2.7,12,,0,0,0,0,0,0,1
...To Skin a Cat,2004,22,,6.9,18,,0,0,1,0,0,0,1
...Tri sinikh-sinikh ozera malinovogo tsveta...,1981,8,,7.5,70,,0,1,1,0,0,0,1
...Un ami viendra ce soir...,1946,92,,6.7,37,,0,0,0,1,0,0,0
...Vanits...,2012,61,,8.4,82,,0,0,1,1,0,0,0
...Y al tercer ao, resucit,1980,90,,4.7,4.5,,0,0,1,0,0,0
...Y del hijo,2004,17,,5.8,9,,0,0,0,0,0,0,1
...Y eligi el infierno,1957,106,,6.4,5,,0,0,0,1,0,0,0
...Y la mujer hizo al hombre,1975,122,,6.2,13,,0,0,0,1,0,0,0
...Y maana sern hombres,1939,82,,7,6,,0,0,0,1,0,0,0
...Y maana sern mujeres,1955,90,,7,6,,0,0,0,1,0,0,0
...Yahaan,2005,142,,7.5,791,,0,0,0,1,0,1,0
...a bude hur,2007,86,,7.3,153,,0,0,0,1,0,0,0
...a pozdravuji vlastovky,1972,90,,6.9,94,,0,0,0,1,0,0,0
...a pt jezdec je Strach,1965,100,,7.3,323,,0,0,0,1,0,0,0
...a tutte le auto della polizia...,1975,95,,6.5,161,,0,0,0,0,0,0,0
...a zase ta Lucie!,1984,82,,6.5,128,,0,0,1,0,0,0,0
...aber Jonny!,1973,96,,5.1,15,,0,0,1,0,0,0,0
...als Diesel geboren,1979,122,,6.9,8,,0,0,0,0,1,0,0
...altrimenti ci arrabbiamo!,1974,92,,7.5,7418,,1,0,1,0,0,0,0
...and Then There's Claude.,2009,9,,6.4,12,,0,0,1,0,1,0,1
...and justice for all.,1979,119,,7.4,22964,,0,0,0,1,0,0,0
...and on the 7th Day, God Rocked,2008,98,12000,6.6,24.5,,0,0,1,0,0,0
...ani smrt nebere,1996,88,,4,10,,0,0,1,0,0,0,0
...boroume kai kato ap' ta thrania!,1983,85,,5.2,12,,0,0,1,0,0,0,0
...del Flaubert que leste un da gris,1997,13,,7.1,39,,0,0,0,1,0,0,1
...denn die Musik und die Liebe in Tirol,1963,94,,3.8,19,,0,0,0,0,0,0,0
...e cos divennero i 3 supermen del West,1973,95,,3.8,19,,1,0,1,0,0,0,0
...e la donna cre l'uomo,1964,88,,7,6,,0,0,0,1,0,0,0
...e lo chiamarono Spirito Santo,1971,97,,4.7,18,,0,0,0,0,0,0,0
...e se domani,2005,90,,5.7,125,,0,0,1,0,0,0,0
...e venne il tempo di uccidere,1968,95,,6.5,69,,0,0,0,0,0,0,0
...e vennero in quattro per uccidere Sartana!,1969,97,,4.3,22,,0,0,0,0,0,0,0
...en fin, el mar,2005,95,,4.9,4.5,,0,0,0,1,0,1
...es wird jemand kommen, der ja zu mir sagt,2006,18,,7,44.5,,0,0,0,0,0,0
...kai dyo avga Tourkias,1987,98,,6.1,35,,0,0,1,0,0,0,0
...kai to treno paei ston ourano,2001,94,,7,7,,0,0,0,1,0,0,0
...ki avrio mera einai,2001,87,,5.4,16,,0,0,0,1,0,0,0
...la main  couper,1974,93,,6.2,39,,0,0,0,1,0,0,0
