{\rtf1\ansi\ansicpg1252\cocoartf1561\cocoasubrtf600
{\fonttbl\f0\fswiss\fcharset0 ArialMT;}
{\colortbl;\red255\green255\blue255;\red26\green26\blue26;\red255\green255\blue255;}
{\*\expandedcolortbl;;\cssrgb\c13333\c13333\c13333;\cssrgb\c100000\c100000\c100000;}
\paperw11900\paperh16840\margl1440\margr1440\vieww10800\viewh8400\viewkind0
\deftab720
\pard\pardeftab720\sl320\partightenfactor0

\f0\fs28 \cf2 \cb3 \expnd0\expndtw0\kerning0
ABW,Aruba\'a0\
IOT,British Indian Ocean Territory\'a0\
IRL,Ireland\'a0\
IRN,Iran Islamic Republic of\'a0\
IRQ,Iraq\'a0\
ISL,Iceland\'a0\
ISR,Israel\'a0\
ITA,Italy\'a0\
JAM,Jamaica\'a0\
JEY,Jersey\'a0\
JOR,Jordan\'a0\
JPN,Japan\'a0\
KAZ,Kazakhstan\'a0\
KEN,Kenya\'a0\
KGZ,Kyrgyzstan\'a0\
KHM,Cambodia\'a0\
KIR,Kiribati\'a0\
KNA,Saint Kitts and Nevis\'a0\
KOR,Korea Republic of\'a0\
KWT,Kuwait\'a0\
LAO,Lao People's Democratic Republic\'a0\
LBN,Lebanon\'a0\
LBR,Liberia\'a0\
LBY,Libyan Arab Jamahiriya\'a0\
LCA,Saint Lucia\'a0\
LIE,Liechtenstein\'a0\
LKA,Sri Lanka\'a0\
LSO,Lesotho\'a0\
LTU,Lithuania\'a0\
LUX,Luxembourg\'a0\
LVA,Latvia\'a0\
MAC,Macao\'a0\
MAF,Saint Martin (French part)\'a0\
MAR,Morocco\'a0\
MCO,Monaco\'a0\
MDA,Moldova Republic of\'a0\
MDG,Madagascar\'a0\
MDV,Maldives\'a0\
MEX,Mexico\'a0\
MHL,Marshall Islands\'a0\
MKD,Macedonia the former Yugoslav Republic of\'a0\
MLI,Mali\'a0\
MLT,Malta\'a0\
MMR,Myanmar\'a0\
MNE,Montenegro\'a0\
MNG,Mongolia\'a0\
MNP,Northern Mariana Islands\'a0\
MOZ,Mozambique\'a0\
MRT,Mauritania\'a0\
MSR,Montserrat\'a0\
MTQ,Martinique\'a0\
MUS,Mauritius\'a0\
MWI,Malawi\'a0\
MYS,Malaysia\'a0\
MYT,Mayotte\'a0\
NAM,Namibia\'a0\
NCL,New Caledonia\'a0\
NER,Niger\'a0\
NFK,Norfolk Island\'a0\
NGA,Nigeria\'a0\
NIC,Nicaragua\'a0\
NIU,Niue\'a0\
NLD,Netherlands\'a0\
NOR,Norway\'a0\
NPL,Nepal\'a0\
NRU,Nauru\'a0\
NZL,New Zealand\'a0\
OMN,Oman\'a0\
PAK,Pakistan\'a0\
PAN,Panama\'a0\
PCN,Pitcairn\'a0\
PER,Peru\'a0\
PHL,Philippines\'a0\
PLW,Palau\'a0\
PNG,Papua New Guinea\'a0\
POL,Poland\'a0\
PRI,Puerto Rico\'a0\
PRK,Korea Democratic People's Republic of\'a0\
PRT,Portugal\'a0\
PRY,Paraguay\'a0\
PSE,Palestinian Territory Occupied\'a0\
PYF,French Polynesia\'a0\
QAT,Qatar\'a0\
REU,R\'e9union\'a0\
ROU,Romania\'a0\
RUS,Russian Federation\'a0\
RWA,Rwanda\'a0\
SAU,Saudi Arabia\'a0\
SDN,Sudan\'a0\
SEN,Senegal\'a0\
SGP,Singapore\'a0\
SGS,South Georgia and the South Sandwich Islands\'a0\
SHN,Saint Helena Ascension and Tristan da Cunha\'a0\
SJM,Svalbard and Jan Mayen\'a0\
SLB,Solomon Islands\'a0\
SLE,Sierra Leone\'a0\
SLV,El Salvador\'a0\
SMR,San Marino\'a0\
SOM,Somalia\'a0\
SPM,Saint Pierre and Miquelon\'a0\
SRB,Serbia\'a0\
STP,Sao Tome and Principe\'a0\
SUR,Suriname\'a0\
SVK,Slovakia\'a0\
SVN,Slovenia\'a0\
SWE,Sweden\'a0\
SWZ,Swaziland\'a0\
SYC,Seychelles\'a0\
SYR,Syrian Arab Republic\'a0\
TCA,Turks and Caicos Islands\'a0\
TCD,Chad\'a0\
TGO,Togo\'a0\
THA,Thailand\'a0\
TJK,Tajikistan\'a0\
TKL,Tokelau\'a0\
TKM,Turkmenistan\'a0\
TLS,Timor-Leste\'a0\
TON,Tonga\'a0\
TTO,Trinidad and Tobago\'a0\
TUN,Tunisia\'a0\
TUR,Turkey\'a0\
TUV,Tuvalu\'a0\
TWN,Taiwan Province of China\'a0\
TZA,Tanzania United Republic of\'a0\
UGA,Uganda\'a0\
UKR,Ukraine\'a0\
UMI,United States Minor Outlying Islands\'a0\
URY,Uruguay\'a0\
USA,United States\'a0\
UZB,Uzbekistan\'a0\
VAT,Holy See (Vatican City State)\'a0\
VCT,Saint Vincent and the Grenadines\'a0\
VEN,Venezuela Bolivarian Republic of\'a0\
VGB,Virgin Islands British\'a0\
VIR,Virgin Islands U.S.\'a0\
VNM,Viet Nam\'a0\
VUT,Vanuatu\'a0\
WLF,Wallis and Futuna\'a0\
WSM,Samoa\'a0\
YEM,Yemen\'a0\
ZAF,South Africa\'a0\
ZMB,Zambia\'a0\
ZWE,Zimbabwe\'a0}
